Commodity,Date,Unit,Minimum Price,Maximum Price,Average Price,Price Range,Price_Difference,Date_Day
Cauli Local(Jyapu),2021-01-12,Kg,30,35,32,5,2,12
Cauli Terai,2021-01-12,Kg,15,20,17,5,2,12
Raddish Red,2021-01-12,Kg,30,40,35,10,5,12
Raddish White(Local),2021-01-12,Kg,10,15,12,5,2,12
Raddish White(Hybrid),2021-01-12,Kg,15,20,17,5,2,12
Brinjal Long,2021-01-12,Kg,35,40,37,5,2,12
Brinjal Round,2021-01-12,Kg,35,40,37,5,2,12
Green Peas,2021-01-12,Kg,40,50,45,10,5,12
French Bean(Local),2021-01-12,Kg,50,60,55,10,5,12
French Bean(Hybrid),2021-01-12,Kg,50,60,55,10,5,12
Sword Bean,2021-01-12,Kg,35,40,37,5,2,12
Bitter Gourd,2021-01-12,Kg,100,110,105,10,5,12
Bottle Gourd,2021-01-12,Kg,35,40,37,5,2,12
Pumpkin,2021-01-12,Kg,25,30,27,5,2,12
Squash(Long),2021-01-12,Kg,25,30,27,5,2,12
Squash(Round),2021-01-12,Kg,35,40,37,5,2,12
Turnip,2021-01-12,Kg,70,80,75,10,5,12
Okara,2021-01-12,Kg,70,80,75,10,5,12
Sweet Potato,2021-01-12,Kg,50,60,55,10,5,12
Barela,2021-01-12,Kg,40,50,45,10,5,12
Arum,2021-01-12,Kg,40,50,45,10,5,12
Christophine,2021-01-12,Kg,15,20,17,5,2,12
Brd Leaf Mustard,2021-01-12,Kg,30,40,35,10,5,12
Spinach Leaf,2021-01-12,Kg,60,70,65,10,5,12
Cress Leaf,2021-01-12,Kg,80,90,85,10,5,12
Mustard Leaf,2021-01-12,Kg,50,60,55,10,5,12
Fenugreek Leaf,2021-01-12,Kg,70,80,75,10,5,12
Onion Green,2021-01-12,Kg,50,60,55,10,5,12
Bakula,2021-01-12,Kg,90,100,95,10,5,12
Mushroom(Kanya),2021-01-12,Kg,90,100,95,10,5,12
Mushroom(Button),2021-01-12,KG,250,280,265,30,15,12
Brocauli,2021-01-12,Kg,30,40,35,10,5,12
Sugarbeet,2021-01-12,Kg,60,70,65,10,5,12
Drumstick,2021-01-12,Kg,110,120,115,10,5,12
Red Cabbbage,2021-01-12,Kg,150,200,175,50,25,12
Lettuce,2021-01-12,Kg,50,60,55,10,5,12
Knolkhol,2021-01-12,Kg,50,60,55,10,5,12
Celery,2021-01-12,Kg,220,250,235,30,15,12
Parseley,2021-01-12,Kg,380,400,390,20,10,12
Fennel Leaf,2021-01-12,Kg,80,90,85,10,5,12
Mint,2021-01-12,Kg,220,250,235,30,15,12
Turnip A,2021-01-12,Kg,70,80,75,10,5,12
Tamarind,2021-01-12,Kg,140,150,145,10,5,12
Bamboo Shoot,2021-01-12,Kg,80,90,85,10,5,12
Tofu,2021-01-12,Kg,70,80,75,10,5,12
Gundruk,2021-01-12,Kg,220,250,235,30,15,12
Apple(Jholey),2021-01-12,Kg,190,200,195,10,5,12
Apple(Fuji),2021-01-12,KG,280,300,290,20,10,12
Banana,2021-01-12,Doz,90,100,95,10,5,12
Lime,2021-01-12,Kg,100,120,110,20,10,12
Pomegranate,2021-01-12,Kg,250,300,275,50,25,12
Grapes(Green),2021-01-12,Kg,200,220,210,20,10,12
Grapes(Black),2021-01-12,Kg,320,350,335,30,15,12
Orange(Nepali),2021-01-12,Kg,100,110,105,10,5,12
Water Melon(Green),2021-01-12,Kg,40,50,45,10,5,12
Sweet Orange,2021-01-12,Kg,150,160,155,10,5,12
Pineapple,2021-01-12,1 Pc,120,130,125,10,5,12
Cucumber(Local),2021-01-12,Kg,70,80,75,10,5,12
Cucumber(Hybrid),2021-01-12,KG,40,50,45,10,5,12
Pear(Chinese),2021-01-12,Kg,250,260,255,10,5,12
Papaya(Indian),2021-01-12,Kg,90,100,95,10,5,12
Guava,2021-01-12,Kg,110,120,115,10,5,12
