Commodity,Date,Unit,Minimum Price,Maximum Price,Average Price,Price Range,Price_Difference,Date_Day
Yam,2021-03-13,Kg,70,90,80,20,10,13
Mushroom(Kanya),2021-03-13,Kg,180,200,190,20,10,13
Mushroom(Button),2021-03-13,KG,280,300,290,20,10,13
Asparagus,2021-03-13,Kg,900,1000,950,100,50,13
Neuro,2021-03-13,Kg,80,90,85,10,5,13
Brocauli,2021-03-13,Kg,55,65,60,10,5,13
Sugarbeet,2021-03-13,Kg,70,80,75,10,5,13
Drumstick,2021-03-13,Kg,150,160,155,10,5,13
Bauhania flower,2021-03-13,Kg,220,250,235,30,15,13
Red Cabbbage,2021-03-13,Kg,100,110,105,10,5,13
Lettuce,2021-03-13,Kg,50,60,55,10,5,13
Knolkhol,2021-03-13,Kg,80,90,85,10,5,13
Celery,2021-03-13,Kg,100,120,110,20,10,13
Parseley,2021-03-13,Kg,200,220,210,20,10,13
Fennel Leaf,2021-03-13,Kg,50,60,55,10,5,13
Mint,2021-03-13,Kg,180,200,190,20,10,13
Turnip A,2021-03-13,Kg,70,80,75,10,5,13
Tamarind,2021-03-13,Kg,140,150,145,10,5,13
Bamboo Shoot,2021-03-13,Kg,70,80,75,10,5,13
Tofu,2021-03-13,Kg,70,80,75,10,5,13
Gundruk,2021-03-13,Kg,220,250,235,30,15,13
Apple(Jholey),2021-03-13,Kg,180,200,190,20,10,13
Apple(Fuji),2021-03-13,KG,250,260,255,10,5,13
Banana,2021-03-13,Doz,100,110,105,10,5,13
Lime,2021-03-13,Kg,150,180,165,30,15,13
Pomegranate,2021-03-13,Kg,300,320,310,20,10,13
Grapes(Green),2021-03-13,Kg,100,120,110,20,10,13
Grapes(Black),2021-03-13,Kg,200,220,210,20,10,13
Orange(Nepali),2021-03-13,Kg,90,100,95,10,5,13
Orange(Indian),2021-03-13,Kg,140,150,145,10,5,13
Water Melon(Green),2021-03-13,Kg,40,50,45,10,5,13
Sweet Orange,2021-03-13,Kg,180,200,190,20,10,13
Pineapple,2021-03-13,1 Pc,130,140,135,10,5,13
Cucumber(Local),2021-03-13,Kg,90,100,95,10,5,13
Cucumber(Hybrid),2021-03-13,KG,50,60,55,10,5,13
Jack Fruit,2021-03-13,Kg,70,80,75,10,5,13
Lemon,2021-03-13,Kg,50,60,55,10,5,13
Pear(Chinese),2021-03-13,Kg,250,260,255,10,5,13
Papaya(Nepali),2021-03-13,Kg,50,60,55,10,5,13
Papaya(Indian),2021-03-13,Kg,70,80,75,10,5,13
Mombin,2021-03-13,Kg,50,60,55,10,5,13
Sugarcane,2021-03-13,1 Pc,60,70,65,10,5,13
Kinnow,2021-03-13,Kg,80,90,85,10,5,13
Strawberry,2021-03-13,Kg,500,550,525,50,25,13
Kiwi,2021-03-13,Kg,300,350,325,50,25,13
Ginger,2021-03-13,Kg,60,70,65,10,5,13
Chilli Dry,2021-03-13,Kg,300,320,310,20,10,13
Chilli Green,2021-03-13,Kg,80,90,85,10,5,13
Chilli Green(Bullet),2021-03-13,KG,70,80,75,10,5,13
Chilli Green(Machhe),2021-03-13,KG,90,100,95,10,5,13
Capsicum,2021-03-13,Kg,80,90,85,10,5,13
Garlic Green,2021-03-13,Kg,70,80,75,10,5,13
Coriander Green,2021-03-13,Kg,50,60,55,10,5,13
Garlic Dry Chinese,2021-03-13,Kg,170,190,180,20,10,13
Garlic Dry Nepali,2021-03-13,Kg,140,150,145,10,5,13
Clive Green,2021-03-13,Kg,150,160,155,10,5,13
Fish Fresh(Rahu),2021-03-13,KG,270,280,275,10,5,13
Fish Fresh(Bachuwa),2021-03-13,KG,230,240,235,10,5,13
Fish Fresh(Chhadi),2021-03-13,KG,220,230,225,10,5,13
Fish Fresh(Mungari),2021-03-13,KG,240,250,245,10,5,13
Tomato Big(Nepali),2021-03-14,Kg,45,55,50,10,5,14
Tomato Big(Indian),2021-03-14,Kg,45,55,50,10,5,14
Tomato Small(Local),2021-03-14,Kg,20,25,22,5,2,14
Tomato Small(Tunnel),2021-03-14,Kg,25,30,27,5,2,14
Tomato Small(Indian),2021-03-14,KG,25,30,27,5,2,14
Tomato Small(Terai),2021-03-14,KG,20,25,22,5,2,14
Potato Red,2021-03-14,Kg,25,30,27,5,2,14
Potato Red(Indian),2021-03-14,KG,25,30,27,5,2,14
Potato White,2021-03-14,Kg,18,20,19,2,1,14
Onion Dry (Indian),2021-03-14,Kg,45,50,47,5,2,14
Carrot(Local),2021-03-14,Kg,50,60,55,10,5,14
Carrot(Terai),2021-03-14,Kg,50,60,55,10,5,14
Cabbage(Local),2021-03-14,Kg,10,15,12,5,2,14
Cabbage(Terai),2021-03-14,Kg,10,15,12,5,2,14
Cabbage,2021-03-14,Kg,10,15,12,5,2,14
Cauli Local,2021-03-14,Kg,40,50,45,10,5,14
Cauli Local(Jyapu),2021-03-14,Kg,50,60,55,10,5,14
Cauli Terai,2021-03-14,Kg,35,40,37,5,2,14
Raddish Red,2021-03-14,Kg,50,60,55,10,5,14
Raddish White(Local),2021-03-14,Kg,40,50,45,10,5,14
Raddish White(Hybrid),2021-03-14,Kg,40,50,45,10,5,14
Brinjal Long,2021-03-14,Kg,70,80,75,10,5,14
Brinjal Round,2021-03-14,Kg,70,80,75,10,5,14
Cow pea(Long),2021-03-14,Kg,180,200,190,20,10,14
Green Peas,2021-03-14,Kg,50,60,55,10,5,14
French Bean(Local),2021-03-14,Kg,60,70,65,10,5,14
French Bean(Hybrid),2021-03-14,Kg,60,70,65,10,5,14
French Bean(Rajma),2021-03-14,Kg,80,90,85,10,5,14
Sword Bean,2021-03-14,Kg,110,120,115,10,5,14
Bitter Gourd,2021-03-14,Kg,105,110,107,5,2,14
Bottle Gourd,2021-03-14,Kg,40,50,45,10,5,14
Pointed Gourd(Local),2021-03-14,Kg,150,160,155,10,5,14
Smooth Gourd,2021-03-14,Kg,110,120,115,10,5,14
Pumpkin,2021-03-14,Kg,30,35,32,5,2,14
Squash(Long),2021-03-14,Kg,30,40,35,10,5,14
Squash(Round),2021-03-14,Kg,25,30,27,5,2,14
Turnip,2021-03-14,Kg,70,80,75,10,5,14
Okara,2021-03-14,Kg,110,120,115,10,5,14
Sweet Potato,2021-03-14,Kg,70,80,75,10,5,14
Barela,2021-03-14,Kg,50,60,55,10,5,14
Arum,2021-03-14,Kg,50,60,55,10,5,14
Christophine,2021-03-14,Kg,40,50,45,10,5,14
Brd Leaf Mustard,2021-03-14,Kg,50,60,55,10,5,14
Spinach Leaf,2021-03-14,Kg,60,70,65,10,5,14
Cress Leaf,2021-03-14,Kg,80,90,85,10,5,14
Mustard Leaf,2021-03-14,Kg,30,40,35,10,5,14
Fenugreek Leaf,2021-03-14,Kg,60,70,65,10,5,14
Onion Green,2021-03-14,Kg,50,60,55,10,5,14
Bakula,2021-03-14,Kg,50,60,55,10,5,14
Yam,2021-03-14,Kg,70,80,75,10,5,14
Mushroom(Kanya),2021-03-14,Kg,180,200,190,20,10,14
Mushroom(Button),2021-03-14,KG,250,260,255,10,5,14
Asparagus,2021-03-14,Kg,950,1000,975,50,25,14
Neuro,2021-03-14,Kg,80,90,85,10,5,14
Brocauli,2021-03-14,Kg,70,80,75,10,5,14
Sugarbeet,2021-03-14,Kg,70,80,75,10,5,14
Drumstick,2021-03-14,Kg,160,170,165,10,5,14
Bauhania flower,2021-03-14,Kg,250,300,275,50,25,14
Red Cabbbage,2021-03-14,Kg,110,120,115,10,5,14
Lettuce,2021-03-14,Kg,50,60,55,10,5,14
Knolkhol,2021-03-14,Kg,80,90,85,10,5,14
Celery,2021-03-14,Kg,110,120,115,10,5,14
Parseley,2021-03-14,Kg,180,200,190,20,10,14
Fennel Leaf,2021-03-14,Kg,70,80,75,10,5,14
Mint,2021-03-14,Kg,150,180,165,30,15,14
Turnip A,2021-03-14,Kg,70,80,75,10,5,14
Tamarind,2021-03-14,Kg,140,150,145,10,5,14
Bamboo Shoot,2021-03-14,Kg,70,80,75,10,5,14
Tofu,2021-03-14,Kg,70,80,75,10,5,14
Gundruk,2021-03-14,Kg,220,230,225,10,5,14
Apple(Jholey),2021-03-14,Kg,180,200,190,20,10,14
Apple(Fuji),2021-03-14,KG,250,260,255,10,5,14
Banana,2021-03-14,Doz,100,110,105,10,5,14
Lime,2021-03-14,Kg,180,200,190,20,10,14
Pomegranate,2021-03-14,Kg,300,320,310,20,10,14
Grapes(Green),2021-03-14,Kg,100,120,110,20,10,14
Grapes(Black),2021-03-14,Kg,200,220,210,20,10,14
Orange(Nepali),2021-03-14,Kg,90,100,95,10,5,14
Orange(Indian),2021-03-14,Kg,140,150,145,10,5,14
Water Melon(Green),2021-03-14,Kg,40,50,45,10,5,14
Sweet Orange,2021-03-14,Kg,180,200,190,20,10,14
Pineapple,2021-03-14,1 Pc,140,150,145,10,5,14
Cucumber(Local),2021-03-14,Kg,90,100,95,10,5,14
Cucumber(Hybrid),2021-03-14,KG,50,60,55,10,5,14
Jack Fruit,2021-03-14,Kg,70,80,75,10,5,14
Lemon,2021-03-14,Kg,50,60,55,10,5,14
Pear(Chinese),2021-03-14,Kg,250,260,255,10,5,14
Papaya(Nepali),2021-03-14,Kg,50,60,55,10,5,14
Papaya(Indian),2021-03-14,Kg,70,80,75,10,5,14
Guava,2021-03-14,Kg,110,120,115,10,5,14
Mombin,2021-03-14,Kg,50,60,55,10,5,14
Sugarcane,2021-03-14,1 Pc,60,70,65,10,5,14
Kinnow,2021-03-14,Kg,80,90,85,10,5,14
Strawberry,2021-03-14,Kg,500,550,525,50,25,14
Kiwi,2021-03-14,Kg,330,350,340,20,10,14
Ginger,2021-03-14,Kg,60,70,65,10,5,14
Chilli Dry,2021-03-14,Kg,300,320,310,20,10,14
Chilli Green,2021-03-14,Kg,80,90,85,10,5,14
Chilli Green(Bullet),2021-03-14,KG,75,80,77,5,2,14
Chilli Green(Machhe),2021-03-14,KG,75,80,77,5,2,14
Capsicum,2021-03-14,Kg,80,90,85,10,5,14
Garlic Green,2021-03-14,Kg,80,90,85,10,5,14
Coriander Green,2021-03-14,Kg,40,50,45,10,5,14
Garlic Dry Chinese,2021-03-14,Kg,170,190,180,20,10,14
Garlic Dry Nepali,2021-03-14,Kg,140,150,145,10,5,14
Fish Fresh(Rahu),2021-03-14,KG,270,280,275,10,5,14
Fish Fresh(Bachuwa),2021-03-14,KG,230,240,235,10,5,14
Fish Fresh(Chhadi),2021-03-14,KG,220,230,225,10,5,14
Fish Fresh(Mungari),2021-03-14,KG,240,250,245,10,5,14
Tomato Big(Nepali),2021-03-15,Kg,45,55,50,10,5,15
Tomato Big(Indian),2021-03-15,Kg,45,55,50,10,5,15
Tomato Small(Local),2021-03-15,Kg,25,30,27,5,2,15
Tomato Small(Tunnel),2021-03-15,Kg,25,30,27,5,2,15
Tomato Small(Indian),2021-03-15,KG,25,30,27,5,2,15
Tomato Small(Terai),2021-03-15,KG,25,30,27,5,2,15
Potato Red,2021-03-15,Kg,25,30,27,5,2,15
Potato Red(Indian),2021-03-15,KG,25,30,27,5,2,15
Potato White,2021-03-15,Kg,18,20,19,2,1,15
Onion Dry (Indian),2021-03-15,Kg,45,50,47,5,2,15
Carrot(Local),2021-03-15,Kg,50,60,55,10,5,15
Carrot(Terai),2021-03-15,Kg,50,60,55,10,5,15
Cabbage(Local),2021-03-15,Kg,10,15,12,5,2,15
Cabbage(Terai),2021-03-15,Kg,11,12,11,1,0,15
Cabbage,2021-03-15,Kg,10,15,12,5,2,15
Cauli Local,2021-03-15,Kg,35,40,37,5,2,15
Cauli Local(Jyapu),2021-03-15,Kg,45,50,47,5,2,15
Cauli Terai,2021-03-15,Kg,30,35,32,5,2,15
Raddish Red,2021-03-15,Kg,60,65,62,5,2,15
Raddish White(Local),2021-03-15,Kg,45,50,47,5,2,15
Raddish White(Hybrid),2021-03-15,Kg,45,50,47,5,2,15
Brinjal Long,2021-03-15,Kg,75,80,77,5,2,15
Brinjal Round,2021-03-15,Kg,75,80,77,5,2,15
Cow pea(Long),2021-03-15,Kg,180,200,190,20,10,15
Green Peas,2021-03-15,Kg,60,70,65,10,5,15
French Bean(Local),2021-03-15,Kg,65,70,67,5,2,15
French Bean(Hybrid),2021-03-15,Kg,65,70,67,5,2,15
Sword Bean,2021-03-15,Kg,110,120,115,10,5,15
Bitter Gourd,2021-03-15,Kg,110,120,115,10,5,15
Bottle Gourd,2021-03-15,Kg,45,50,47,5,2,15
Pointed Gourd(Local),2021-03-15,Kg,110,120,115,10,5,15
Smooth Gourd,2021-03-15,Kg,110,120,115,10,5,15
Pumpkin,2021-03-15,Kg,35,40,37,5,2,15
Squash(Long),2021-03-15,Kg,30,35,32,5,2,15
Squash(Round),2021-03-15,Kg,25,30,27,5,2,15
Turnip,2021-03-15,Kg,70,80,75,10,5,15
Okara,2021-03-15,Kg,100,120,110,20,10,15
Sweet Potato,2021-03-15,Kg,70,80,75,10,5,15
Barela,2021-03-15,Kg,40,50,45,10,5,15
Arum,2021-03-15,Kg,45,50,47,5,2,15
Christophine,2021-03-15,Kg,35,40,37,5,2,15
Brd Leaf Mustard,2021-03-15,Kg,60,70,65,10,5,15
Spinach Leaf,2021-03-15,Kg,60,70,65,10,5,15
Cress Leaf,2021-03-15,Kg,80,90,85,10,5,15
Mustard Leaf,2021-03-15,Kg,40,50,45,10,5,15
Fenugreek Leaf,2021-03-15,Kg,60,70,65,10,5,15
Onion Green,2021-03-15,Kg,50,60,55,10,5,15
Bakula,2021-03-15,Kg,50,60,55,10,5,15
Yam,2021-03-15,Kg,70,80,75,10,5,15
Mushroom(Kanya),2021-03-15,Kg,180,200,190,20,10,15
Mushroom(Button),2021-03-15,KG,250,260,255,10,5,15
Asparagus,2021-03-15,Kg,950,1000,975,50,25,15
Neuro,2021-03-15,Kg,80,90,85,10,5,15
Brocauli,2021-03-15,Kg,60,70,65,10,5,15
Sugarbeet,2021-03-15,Kg,70,80,75,10,5,15
Drumstick,2021-03-15,Kg,250,270,260,20,10,15
Bauhania flower,2021-03-15,Kg,190,200,195,10,5,15
Red Cabbbage,2021-03-15,Kg,110,120,115,10,5,15
Lettuce,2021-03-15,Kg,60,70,65,10,5,15
Knolkhol,2021-03-15,Kg,80,90,85,10,5,15
Celery,2021-03-15,Kg,110,120,115,10,5,15
Parseley,2021-03-15,Kg,180,200,190,20,10,15
Fennel Leaf,2021-03-15,Kg,60,70,65,10,5,15
Mint,2021-03-15,Kg,160,180,170,20,10,15
Turnip A,2021-03-15,Kg,70,80,75,10,5,15
Tamarind,2021-03-15,Kg,140,150,145,10,5,15
Bamboo Shoot,2021-03-15,Kg,70,80,75,10,5,15
Tofu,2021-03-15,Kg,70,80,75,10,5,15
Gundruk,2021-03-15,Kg,220,230,225,10,5,15
Apple(Jholey),2021-03-15,Kg,180,200,190,20,10,15
Apple(Fuji),2021-03-15,KG,250,260,255,10,5,15
Banana,2021-03-15,Doz,100,110,105,10,5,15
Lime,2021-03-15,Kg,180,200,190,20,10,15
Pomegranate,2021-03-15,Kg,300,320,310,20,10,15
Grapes(Green),2021-03-15,Kg,100,120,110,20,10,15
Grapes(Black),2021-03-15,Kg,200,220,210,20,10,15
Orange(Nepali),2021-03-15,Kg,80,100,90,20,10,15
Orange(Indian),2021-03-15,Kg,140,150,145,10,5,15
Water Melon(Green),2021-03-15,Kg,35,40,37,5,2,15
Sweet Orange,2021-03-15,Kg,180,200,190,20,10,15
Pineapple,2021-03-15,1 Pc,140,150,145,10,5,15
Cucumber(Local),2021-03-15,Kg,90,100,95,10,5,15
Cucumber(Hybrid),2021-03-15,KG,50,60,55,10,5,15
Jack Fruit,2021-03-15,Kg,70,80,75,10,5,15
Lemon,2021-03-15,Kg,50,60,55,10,5,15
Pear(Chinese),2021-03-15,Kg,250,260,255,10,5,15
Papaya(Nepali),2021-03-15,Kg,50,60,55,10,5,15
Papaya(Indian),2021-03-15,Kg,70,80,75,10,5,15
Mombin,2021-03-15,Kg,60,70,65,10,5,15
Sugarcane,2021-03-15,1 Pc,50,60,55,10,5,15
Kinnow,2021-03-15,Kg,80,90,85,10,5,15
Strawberry,2021-03-15,Kg,500,550,525,50,25,15
Kiwi,2021-03-15,Kg,330,350,340,20,10,15
Ginger,2021-03-15,Kg,60,70,65,10,5,15
Chilli Dry,2021-03-15,Kg,300,330,315,30,15,15
Chilli Green,2021-03-15,Kg,80,90,85,10,5,15
Chilli Green(Bullet),2021-03-15,KG,70,80,75,10,5,15
Chilli Green(Machhe),2021-03-15,KG,70,80,75,10,5,15
Capsicum,2021-03-15,Kg,70,80,75,10,5,15
Garlic Green,2021-03-15,Kg,70,80,75,10,5,15
Coriander Green,2021-03-15,Kg,40,50,45,10,5,15
Garlic Dry Chinese,2021-03-15,Kg,170,180,175,10,5,15
Garlic Dry Nepali,2021-03-15,Kg,150,160,155,10,5,15
Clive Green,2021-03-15,Kg,150,160,155,10,5,15
Fish Fresh(Rahu),2021-03-15,KG,270,280,275,10,5,15
Fish Fresh(Bachuwa),2021-03-15,KG,230,240,235,10,5,15
Fish Fresh(Chhadi),2021-03-15,KG,220,230,225,10,5,15
Fish Fresh(Mungari),2021-03-15,KG,240,250,245,10,5,15
Tomato Big(Nepali),2021-03-16,Kg,45,55,50,10,5,16
Tomato Big(Indian),2021-03-16,Kg,45,55,50,10,5,16
Tomato Small(Local),2021-03-16,Kg,25,30,27,5,2,16
Tomato Small(Tunnel),2021-03-16,Kg,35,40,37,5,2,16
Tomato Small(Indian),2021-03-16,KG,35,40,37,5,2,16
Tomato Small(Terai),2021-03-16,KG,30,35,32,5,2,16
Potato Red,2021-03-16,Kg,25,30,27,5,2,16
Potato Red(Indian),2021-03-16,KG,25,30,27,5,2,16
Potato White,2021-03-16,Kg,18,20,19,2,1,16
Onion Dry (Indian),2021-03-16,Kg,45,50,47,5,2,16
Carrot(Local),2021-03-16,Kg,50,60,55,10,5,16
Carrot(Terai),2021-03-16,Kg,50,60,55,10,5,16
Cabbage(Local),2021-03-16,Kg,12,15,13,3,1,16
Cabbage(Terai),2021-03-16,Kg,10,12,11,2,1,16
Cabbage,2021-03-16,Kg,12,15,13,3,1,16
Cauli Local,2021-03-16,Kg,35,40,37,5,2,16
Cauli Local(Jyapu),2021-03-16,Kg,45,50,47,5,2,16
Cauli Terai,2021-03-16,Kg,25,30,27,5,2,16
Raddish Red,2021-03-16,Kg,50,60,55,10,5,16
Raddish White(Local),2021-03-16,Kg,35,40,37,5,2,16
Raddish White(Hybrid),2021-03-16,Kg,40,45,42,5,2,16
Brinjal Long,2021-03-16,Kg,60,70,65,10,5,16
Brinjal Round,2021-03-16,Kg,60,70,65,10,5,16
Cow pea(Long),2021-03-16,Kg,120,130,125,10,5,16
Green Peas,2021-03-16,Kg,60,70,65,10,5,16
French Bean(Local),2021-03-16,Kg,50,60,55,10,5,16
French Bean(Hybrid),2021-03-16,Kg,50,60,55,10,5,16
French Bean(Rajma),2021-03-16,Kg,90,100,95,10,5,16
Sword Bean,2021-03-16,Kg,90,100,95,10,5,16
Bitter Gourd,2021-03-16,Kg,100,120,110,20,10,16
Bottle Gourd,2021-03-16,Kg,45,50,47,5,2,16
Pointed Gourd(Local),2021-03-16,Kg,90,100,95,10,5,16
Smooth Gourd,2021-03-16,Kg,130,140,135,10,5,16
Sponge Gourd,2021-03-16,Kg,90,100,95,10,5,16
Pumpkin,2021-03-16,Kg,30,40,35,10,5,16
Squash(Long),2021-03-16,Kg,30,35,32,5,2,16
Squash(Round),2021-03-16,Kg,25,30,27,5,2,16
Turnip,2021-03-16,Kg,70,80,75,10,5,16
Okara,2021-03-16,Kg,110,120,115,10,5,16
Sweet Potato,2021-03-16,Kg,60,70,65,10,5,16
Barela,2021-03-16,Kg,40,50,45,10,5,16
Arum,2021-03-16,Kg,45,50,47,5,2,16
Christophine,2021-03-16,Kg,45,50,47,5,2,16
Brd Leaf Mustard,2021-03-16,Kg,60,70,65,10,5,16
Spinach Leaf,2021-03-16,Kg,60,70,65,10,5,16
Cress Leaf,2021-03-16,Kg,70,80,75,10,5,16
Mustard Leaf,2021-03-16,Kg,50,60,55,10,5,16
Fenugreek Leaf,2021-03-16,Kg,60,70,65,10,5,16
Onion Green,2021-03-16,Kg,50,60,55,10,5,16
Bakula,2021-03-16,Kg,50,60,55,10,5,16
Yam,2021-03-16,Kg,70,80,75,10,5,16
Mushroom(Kanya),2021-03-16,Kg,180,200,190,20,10,16
Mushroom(Button),2021-03-16,KG,280,300,290,20,10,16
Asparagus,2021-03-16,Kg,950,1000,975,50,25,16
Neuro,2021-03-16,Kg,80,90,85,10,5,16
Brocauli,2021-03-16,Kg,50,60,55,10,5,16
Sugarbeet,2021-03-16,Kg,70,80,75,10,5,16
Drumstick,2021-03-16,Kg,140,150,145,10,5,16
Bauhania flower,2021-03-16,Kg,190,200,195,10,5,16
Red Cabbbage,2021-03-16,Kg,90,100,95,10,5,16
Lettuce,2021-03-16,Kg,70,80,75,10,5,16
Knolkhol,2021-03-16,Kg,80,90,85,10,5,16
Celery,2021-03-16,Kg,110,120,115,10,5,16
Parseley,2021-03-16,Kg,180,200,190,20,10,16
Fennel Leaf,2021-03-16,Kg,70,80,75,10,5,16
Mint,2021-03-16,Kg,160,170,165,10,5,16
Turnip A,2021-03-16,Kg,70,80,75,10,5,16
Tamarind,2021-03-16,Kg,140,150,145,10,5,16
Bamboo Shoot,2021-03-16,Kg,70,80,75,10,5,16
Tofu,2021-03-16,Kg,70,80,75,10,5,16
Gundruk,2021-03-16,Kg,220,230,225,10,5,16
Apple(Jholey),2021-03-16,Kg,180,200,190,20,10,16
Apple(Fuji),2021-03-16,KG,250,260,255,10,5,16
Banana,2021-03-16,Doz,100,110,105,10,5,16
Lime,2021-03-16,Kg,190,200,195,10,5,16
Pomegranate,2021-03-16,Kg,300,320,310,20,10,16
Grapes(Green),2021-03-16,Kg,100,120,110,20,10,16
Grapes(Black),2021-03-16,Kg,200,220,210,20,10,16
Orange(Nepali),2021-03-16,Kg,80,90,85,10,5,16
Orange(Indian),2021-03-16,Kg,140,150,145,10,5,16
Water Melon(Green),2021-03-16,Kg,35,40,37,5,2,16
Sweet Orange,2021-03-16,Kg,180,200,190,20,10,16
Pineapple,2021-03-16,1 Pc,140,150,145,10,5,16
Cucumber(Local),2021-03-16,Kg,80,90,85,10,5,16
Cucumber(Hybrid),2021-03-16,KG,50,60,55,10,5,16
Jack Fruit,2021-03-16,Kg,60,70,65,10,5,16
Lemon,2021-03-16,Kg,50,60,55,10,5,16
Pear(Chinese),2021-03-16,Kg,250,260,255,10,5,16
Papaya(Nepali),2021-03-16,Kg,50,60,55,10,5,16
Papaya(Indian),2021-03-16,Kg,80,90,85,10,5,16
Mombin,2021-03-16,Kg,60,70,65,10,5,16
Sugarcane,2021-03-16,1 Pc,50,60,55,10,5,16
Kinnow,2021-03-16,Kg,80,90,85,10,5,16
Strawberry,2021-03-16,Kg,500,550,525,50,25,16
Kiwi,2021-03-16,Kg,330,350,340,20,10,16
Ginger,2021-03-16,Kg,60,70,65,10,5,16
Chilli Dry,2021-03-16,Kg,300,320,310,20,10,16
Chilli Green,2021-03-16,Kg,80,90,85,10,5,16
Chilli Green(Bullet),2021-03-16,KG,70,80,75,10,5,16
Chilli Green(Machhe),2021-03-16,KG,70,80,75,10,5,16
Capsicum,2021-03-16,Kg,70,80,75,10,5,16
Garlic Green,2021-03-16,Kg,70,80,75,10,5,16
Coriander Green,2021-03-16,Kg,40,50,45,10,5,16
Garlic Dry Chinese,2021-03-16,Kg,170,180,175,10,5,16
Garlic Dry Nepali,2021-03-16,Kg,150,160,155,10,5,16
Clive Green,2021-03-16,Kg,150,160,155,10,5,16
Fish Fresh(Rahu),2021-03-16,KG,270,280,275,10,5,16
Fish Fresh(Bachuwa),2021-03-16,KG,230,240,235,10,5,16
Fish Fresh(Chhadi),2021-03-16,KG,210,220,215,10,5,16
Fish Fresh(Mungari),2021-03-16,KG,240,250,245,10,5,16
Tomato Big(Nepali),2021-03-17,Kg,40,50,45,10,5,17
Tomato Big(Indian),2021-03-17,Kg,40,50,45,10,5,17
Tomato Small(Local),2021-03-17,Kg,15,20,17,5,2,17
Tomato Small(Tunnel),2021-03-17,Kg,40,45,42,5,2,17
Tomato Small(Indian),2021-03-17,KG,25,30,27,5,2,17
Tomato Small(Terai),2021-03-17,KG,25,30,27,5,2,17
Potato Red,2021-03-17,Kg,24,28,26,4,2,17
Potato Red(Indian),2021-03-17,KG,24,26,25,2,1,17
Potato White,2021-03-17,Kg,20,21,20,1,0,17
Onion Dry (Indian),2021-03-17,Kg,40,45,42,5,2,17
Carrot(Local),2021-03-17,Kg,50,60,55,10,5,17
Carrot(Terai),2021-03-17,Kg,50,60,55,10,5,17
Cabbage(Local),2021-03-17,Kg,10,15,12,5,2,17
Cabbage(Terai),2021-03-17,Kg,10,15,12,5,2,17
Cabbage,2021-03-17,Kg,10,15,12,5,2,17
Cauli Local,2021-03-17,Kg,40,45,42,5,2,17
Cauli Local(Jyapu),2021-03-17,Kg,40,50,45,10,5,17
Cauli Terai,2021-03-17,Kg,30,35,32,5,2,17
Raddish Red,2021-03-17,Kg,60,70,65,10,5,17
Raddish White(Local),2021-03-17,Kg,40,50,45,10,5,17
Raddish White(Hybrid),2021-03-17,Kg,40,50,45,10,5,17
Brinjal Long,2021-03-17,Kg,50,60,55,10,5,17
Brinjal Round,2021-03-17,Kg,50,60,55,10,5,17
Cow pea(Long),2021-03-17,Kg,110,120,115,10,5,17
Green Peas,2021-03-17,Kg,60,70,65,10,5,17
French Bean(Local),2021-03-17,Kg,60,70,65,10,5,17
French Bean(Hybrid),2021-03-17,Kg,50,60,55,10,5,17
French Bean(Rajma),2021-03-17,Kg,90,100,95,10,5,17
Sword Bean,2021-03-17,Kg,100,110,105,10,5,17
Bitter Gourd,2021-03-17,Kg,120,130,125,10,5,17
Bottle Gourd,2021-03-17,Kg,40,50,45,10,5,17
Pointed Gourd(Terai),2021-03-17,Kg,100,120,110,20,10,17
Smooth Gourd,2021-03-17,Kg,100,120,110,20,10,17
Pumpkin,2021-03-17,Kg,30,40,35,10,5,17
Squash(Long),2021-03-17,Kg,30,40,35,10,5,17
Squash(Round),2021-03-17,Kg,25,30,27,5,2,17
Turnip,2021-03-17,Kg,70,80,75,10,5,17
Okara,2021-03-17,Kg,100,110,105,10,5,17
Sweet Potato,2021-03-17,Kg,70,80,75,10,5,17
Barela,2021-03-17,Kg,50,60,55,10,5,17
Arum,2021-03-17,Kg,50,60,55,10,5,17
Christophine,2021-03-17,Kg,40,50,45,10,5,17
Brd Leaf Mustard,2021-03-17,Kg,50,60,55,10,5,17
Spinach Leaf,2021-03-17,Kg,50,60,55,10,5,17
Cress Leaf,2021-03-17,Kg,70,80,75,10,5,17
Mustard Leaf,2021-03-17,Kg,30,40,35,10,5,17
Fenugreek Leaf,2021-03-17,Kg,50,60,55,10,5,17
Onion Green,2021-03-17,Kg,50,60,55,10,5,17
Bakula,2021-03-17,Kg,60,70,65,10,5,17
Yam,2021-03-17,Kg,70,80,75,10,5,17
Mushroom(Kanya),2021-03-17,Kg,150,200,175,50,25,17
Mushroom(Button),2021-03-17,KG,300,320,310,20,10,17
Asparagus,2021-03-17,Kg,700,900,800,200,100,17
Neuro,2021-03-17,Kg,80,90,85,10,5,17
Brocauli,2021-03-17,Kg,60,70,65,10,5,17
Sugarbeet,2021-03-17,Kg,70,80,75,10,5,17
Drumstick,2021-03-17,Kg,140,160,150,20,10,17
Bauhania flower,2021-03-17,Kg,140,160,150,20,10,17
Red Cabbbage,2021-03-17,Kg,100,120,110,20,10,17
Lettuce,2021-03-17,Kg,70,80,75,10,5,17
Knolkhol,2021-03-17,Kg,80,90,85,10,5,17
Celery,2021-03-17,Kg,120,150,135,30,15,17
