product,date,unit,min_price,max_price,avg_price
cabbage(local),2021-01-06,Kg,25.0,30.0,27.5
cabbage(terai),2021-01-06,Kg,20.0,25.0,22.5
cabbage,2021-01-06,Kg,30.0,35.0,32.5
cauli local,2021-01-06,Kg,25.0,35.0,30.0
cauli local(jyapu),2021-01-06,Kg,40.0,45.0,42.5
cauli terai,2021-01-06,Kg,20.0,25.0,22.5
raddish red,2021-01-06,Kg,35.0,40.0,37.5
raddish white(local),2021-01-06,Kg,10.0,15.0,12.5
raddish white(hybrid),2021-01-06,Kg,15.0,20.0,17.5
brinjal long,2021-01-06,Kg,35.0,40.0,37.5
brinjal round,2021-01-06,Kg,35.0,40.0,37.5
green peas,2021-01-06,Kg,45.0,50.0,47.5
french bean(local),2021-01-06,Kg,40.0,50.0,45.0
french bean(hybrid),2021-01-06,Kg,50.0,60.0,55.0
sword bean,2021-01-06,Kg,35.0,40.0,37.5
bitter gourd,2021-01-06,Kg,100.0,110.0,105.0
bottle gourd,2021-01-06,Kg,30.0,40.0,35.0
pumpkin,2021-01-06,Kg,25.0,30.0,27.5
squash(long),2021-01-06,Kg,25.0,30.0,27.5
squash(round),2021-01-06,Kg,45.0,50.0,47.5
turnip,2021-01-06,Kg,70.0,80.0,75.0
okara,2021-01-06,Kg,70.0,80.0,75.0
sweet potato,2021-01-06,Kg,70.0,80.0,75.0
barela,2021-01-06,Kg,50.0,60.0,55.0
arum,2021-01-06,Kg,50.0,60.0,55.0
christophine,2021-01-06,Kg,15.0,20.0,17.5
brd leaf mustard,2021-01-06,Kg,40.0,50.0,45.0
spinach leaf,2021-01-06,Kg,70.0,80.0,75.0
cress leaf,2021-01-06,Kg,90.0,100.0,95.0
mustard leaf,2021-01-06,Kg,50.0,60.0,55.0
fenugreek leaf,2021-01-06,Kg,70.0,80.0,75.0
onion green,2021-01-06,Kg,50.0,60.0,55.0
bakula,2021-01-06,Kg,100.0,110.0,105.0
yam,2021-01-06,Kg,50.0,60.0,55.0
mushroom(kanya),2021-01-06,Kg,120.0,150.0,135.0
mushroom(button),2021-01-06,KG,250.0,280.0,265.0
brocauli,2021-01-06,Kg,35.0,40.0,37.5
sugarbeet,2021-01-06,Kg,70.0,80.0,75.0
red cabbbage,2021-01-06,Kg,150.0,170.0,160.0
lettuce,2021-01-06,Kg,50.0,60.0,55.0
knolkhol,2021-01-06,Kg,50.0,60.0,55.0
celery,2021-01-06,Kg,220.0,250.0,235.0
parseley,2021-01-06,Kg,380.0,400.0,390.0
fennel leaf,2021-01-06,Kg,80.0,90.0,85.0
mint,2021-01-06,Kg,220.0,250.0,235.0
turnip a,2021-01-06,Kg,70.0,80.0,75.0
tamarind,2021-01-06,Kg,140.0,150.0,145.0
bamboo shoot,2021-01-06,Kg,70.0,80.0,75.0
tofu,2021-01-06,Kg,70.0,80.0,75.0
gundruk,2021-01-06,Kg,220.0,230.0,225.0
apple(jholey),2021-01-06,Kg,190.0,200.0,195.0
apple(fuji),2021-01-06,KG,290.0,300.0,295.0
banana,2021-01-06,Doz,90.0,100.0,95.0
lime,2021-01-06,Kg,100.0,110.0,105.0
pomegranate,2021-01-06,Kg,280.0,300.0,290.0
grapes(green),2021-01-06,Kg,200.0,220.0,210.0
grapes(black),2021-01-06,Kg,350.0,360.0,355.0
orange(nepali),2021-01-06,Kg,90.0,100.0,95.0
orange(indian),2021-01-06,Kg,70.0,80.0,75.0
water melon(green),2021-01-06,Kg,40.0,50.0,45.0
sweet orange,2021-01-06,Kg,150.0,160.0,155.0
pineapple,2021-01-06,1 Pc,120.0,130.0,125.0
cucumber(local),2021-01-06,Kg,80.0,90.0,85.0
