product,date,unit,min_price,max_price,avg_price
fish fresh(bachuwa),2021-02-09,KG,230.0,240.0,235.0
fish fresh(chhadi),2021-02-09,KG,210.0,230.0,220.0
fish fresh(mungari),2021-02-09,KG,240.0,250.0,245.0
tomato big(nepali),2021-02-10,Kg,50.0,60.0,55.0
tomato big(indian),2021-02-10,Kg,40.0,50.0,45.0
tomato small(local),2021-02-10,Kg,15.0,20.0,17.5
tomato small(tunnel),2021-02-10,Kg,15.0,22.0,18.5
tomato small(indian),2021-02-10,KG,20.0,30.0,25.0
tomato small(terai),2021-02-10,KG,25.0,30.0,27.5
potato red,2021-02-10,Kg,24.0,28.0,26.0
potato red(indian),2021-02-10,KG,24.0,26.0,25.0
potato white,2021-02-10,Kg,18.0,20.0,19.0
onion dry (indian),2021-02-10,Kg,78.0,82.0,80.0
carrot(local),2021-02-10,Kg,45.0,55.0,50.0
carrot(terai),2021-02-10,Kg,40.0,50.0,45.0
cabbage(local),2021-02-10,Kg,15.0,20.0,17.5
cabbage(terai),2021-02-10,Kg,12.0,16.0,14.0
cabbage,2021-02-10,Kg,12.0,16.0,14.0
cauli local,2021-02-10,Kg,40.0,50.0,45.0
cauli local(jyapu),2021-02-10,Kg,45.0,50.0,47.5
cauli terai,2021-02-10,Kg,30.0,40.0,35.0
raddish white(local),2021-02-10,Kg,25.0,30.0,27.5
raddish white(hybrid),2021-02-10,Kg,30.0,35.0,32.5
brinjal long,2021-02-10,Kg,60.0,70.0,65.0
brinjal round,2021-02-10,Kg,60.0,70.0,65.0
green peas,2021-02-10,Kg,50.0,60.0,55.0
french bean(local),2021-02-10,Kg,70.0,80.0,75.0
french bean(hybrid),2021-02-10,Kg,60.0,70.0,65.0
sword bean,2021-02-10,Kg,60.0,70.0,65.0
bitter gourd,2021-02-10,Kg,120.0,140.0,130.0
bottle gourd,2021-02-10,Kg,60.0,70.0,65.0
pointed gourd(local),2021-02-10,Kg,200.0,220.0,210.0
pumpkin,2021-02-10,Kg,25.0,35.0,30.0
squash(long),2021-02-10,Kg,40.0,50.0,45.0
squash(round),2021-02-10,Kg,50.0,60.0,55.0
turnip,2021-02-10,Kg,70.0,80.0,75.0
okara,2021-02-10,Kg,100.0,120.0,110.0
sweet potato,2021-02-10,Kg,60.0,70.0,65.0
barela,2021-02-10,Kg,50.0,60.0,55.0
arum,2021-02-10,Kg,50.0,60.0,55.0
christophine,2021-02-10,Kg,50.0,60.0,55.0
brd leaf mustard,2021-02-10,Kg,45.0,50.0,47.5
spinach leaf,2021-02-10,Kg,50.0,60.0,55.0
cress leaf,2021-02-10,Kg,80.0,90.0,85.0
mustard leaf,2021-02-10,Kg,40.0,50.0,45.0
fenugreek leaf,2021-02-10,Kg,50.0,60.0,55.0
onion green,2021-02-10,Kg,60.0,70.0,65.0
bakula,2021-02-10,Kg,110.0,120.0,115.0
yam,2021-02-10,Kg,50.0,60.0,55.0
mushroom(kanya),2021-02-10,Kg,120.0,140.0,130.0
mushroom(button),2021-02-10,KG,280.0,300.0,290.0
brocauli,2021-02-10,Kg,50.0,60.0,55.0
sugarbeet,2021-02-10,Kg,80.0,90.0,85.0
drumstick,2021-02-10,Kg,160.0,180.0,170.0
red cabbbage,2021-02-10,Kg,90.0,100.0,95.0
lettuce,2021-02-10,Kg,80.0,90.0,85.0
knolkhol,2021-02-10,Kg,80.0,90.0,85.0
celery,2021-02-10,Kg,220.0,250.0,235.0
parseley,2021-02-10,Kg,350.0,400.0,375.0
fennel leaf,2021-02-10,Kg,80.0,90.0,85.0
mint,2021-02-10,Kg,220.0,250.0,235.0
turnip a,2021-02-10,Kg,70.0,80.0,75.0
tamarind,2021-02-10,Kg,140.0,150.0,145.0
bamboo shoot,2021-02-10,Kg,70.0,80.0,75.0
tofu,2021-02-10,Kg,70.0,80.0,75.0
gundruk,2021-02-10,Kg,220.0,250.0,235.0
apple(jholey),2021-02-10,Kg,190.0,200.0,195.0
apple(fuji),2021-02-10,KG,250.0,280.0,265.0
banana,2021-02-10,Doz,90.0,100.0,95.0
lime,2021-02-10,Kg,130.0,140.0,135.0
pomegranate,2021-02-10,Kg,280.0,300.0,290.0
grapes(green),2021-02-10,Kg,100.0,125.0,112.5
grapes(black),2021-02-10,Kg,225.0,250.0,237.5
orange(nepali),2021-02-10,Kg,140.0,150.0,145.0
water melon(green),2021-02-10,Kg,35.0,45.0,40.0
sweet orange,2021-02-10,Kg,150.0,160.0,155.0
pineapple,2021-02-10,1 Pc,140.0,150.0,145.0
cucumber(local),2021-02-10,Kg,130.0,140.0,135.0
cucumber(hybrid),2021-02-10,KG,40.0,50.0,45.0
jack fruit,2021-02-10,Kg,80.0,90.0,85.0
lemon,2021-02-10,Kg,40.0,50.0,45.0
pear(chinese),2021-02-10,Kg,260.0,270.0,265.0
papaya(nepali),2021-02-10,Kg,50.0,60.0,55.0
papaya(indian),2021-02-10,Kg,90.0,100.0,95.0
guava,2021-02-10,Kg,90.0,100.0,95.0
mombin,2021-02-10,Kg,40.0,50.0,45.0
sugarcane,2021-02-10,1 Pc,80.0,90.0,85.0
kinnow,2021-02-10,Kg,50.0,60.0,55.0
strawberry,2021-02-10,Kg,550.0,600.0,575.0
kiwi,2021-02-10,Kg,280.0,300.0,290.0
ginger,2021-02-10,Kg,50.0,60.0,55.0
chilli dry,2021-02-10,Kg,320.0,330.0,325.0
chilli green,2021-02-10,Kg,80.0,90.0,85.0
chilli green(bullet),2021-02-10,KG,50.0,60.0,55.0
chilli green(machhe),2021-02-10,KG,90.0,100.0,95.0
capsicum,2021-02-10,Kg,70.0,80.0,75.0
garlic green,2021-02-10,Kg,70.0,80.0,75.0
coriander green,2021-02-10,Kg,90.0,100.0,95.0
garlic dry chinese,2021-02-10,Kg,280.0,300.0,290.0
fish fresh(rahu),2021-02-10,KG,270.0,280.0,275.0
fish fresh(bachuwa),2021-02-10,KG,225.0,230.0,227.5
fish fresh(chhadi),2021-02-10,KG,210.0,220.0,215.0
fish fresh(mungari),2021-02-10,KG,240.0,250.0,245.0
tomato big(nepali),2021-02-11,Kg,50.0,60.0,55.0
tomato big(indian),2021-02-11,Kg,45.0,55.0,50.0
tomato small(local),2021-02-11,Kg,15.0,25.0,20.0
tomato small(tunnel),2021-02-11,Kg,15.0,25.0,20.0
tomato small(indian),2021-02-11,KG,20.0,30.0,25.0
tomato small(terai),2021-02-11,KG,20.0,30.0,25.0
potato red,2021-02-11,Kg,24.0,28.0,26.0
potato red(indian),2021-02-11,KG,24.0,28.0,26.0
potato white,2021-02-11,Kg,18.0,20.0,19.0
onion dry (indian),2021-02-11,Kg,78.0,82.0,80.0
carrot(local),2021-02-11,Kg,50.0,60.0,55.0
carrot(terai),2021-02-11,Kg,40.0,50.0,45.0
cabbage(local),2021-02-11,Kg,15.0,20.0,17.5
cabbage(terai),2021-02-11,Kg,10.0,15.0,12.5
cabbage,2021-02-11,Kg,12.0,15.0,13.5
cauli local,2021-02-11,Kg,35.0,45.0,40.0
cauli local(jyapu),2021-02-11,Kg,40.0,50.0,45.0
cauli terai,2021-02-11,Kg,20.0,30.0,25.0
raddish red,2021-02-11,Kg,50.0,60.0,55.0
raddish white(local),2021-02-11,Kg,25.0,30.0,27.5
raddish white(hybrid),2021-02-11,Kg,25.0,40.0,32.5
brinjal long,2021-02-11,Kg,55.0,60.0,57.5
brinjal round,2021-02-11,Kg,55.0,60.0,57.5
green peas,2021-02-11,Kg,50.0,60.0,55.0
french bean(local),2021-02-11,Kg,70.0,80.0,75.0
french bean(hybrid),2021-02-11,Kg,60.0,70.0,65.0
sword bean,2021-02-11,Kg,65.0,75.0,70.0
bitter gourd,2021-02-11,Kg,120.0,140.0,130.0
bottle gourd,2021-02-11,Kg,50.0,60.0,55.0
pointed gourd(terai),2021-02-11,Kg,200.0,210.0,205.0
pumpkin,2021-02-11,Kg,25.0,30.0,27.5
squash(long),2021-02-11,Kg,40.0,50.0,45.0
squash(round),2021-02-11,Kg,50.0,60.0,55.0
turnip,2021-02-11,Kg,80.0,90.0,85.0
okara,2021-02-11,Kg,110.0,120.0,115.0
sweet potato,2021-02-11,Kg,60.0,70.0,65.0
barela,2021-02-11,Kg,50.0,60.0,55.0
arum,2021-02-11,Kg,50.0,60.0,55.0
christophine,2021-02-11,Kg,40.0,50.0,45.0
brd leaf mustard,2021-02-11,Kg,50.0,60.0,55.0
spinach leaf,2021-02-11,Kg,60.0,70.0,65.0
cress leaf,2021-02-11,Kg,90.0,100.0,95.0
mustard leaf,2021-02-11,Kg,50.0,60.0,55.0
fenugreek leaf,2021-02-11,Kg,60.0,70.0,65.0
onion green,2021-02-11,Kg,60.0,70.0,65.0
bakula,2021-02-11,Kg,100.0,110.0,105.0
yam,2021-02-11,Kg,60.0,70.0,65.0
mushroom(kanya),2021-02-11,Kg,120.0,140.0,130.0
mushroom(button),2021-02-11,KG,280.0,300.0,290.0
brocauli,2021-02-11,Kg,60.0,70.0,65.0
sugarbeet,2021-02-11,Kg,70.0,80.0,75.0
drumstick,2021-02-11,Kg,160.0,180.0,170.0
red cabbbage,2021-02-11,Kg,90.0,100.0,95.0
lettuce,2021-02-11,Kg,80.0,90.0,85.0
knolkhol,2021-02-11,Kg,90.0,100.0,95.0
celery,2021-02-11,Kg,220.0,250.0,235.0
parseley,2021-02-11,Kg,350.0,400.0,375.0
fennel leaf,2021-02-11,Kg,80.0,90.0,85.0
mint,2021-02-11,Kg,220.0,250.0,235.0
turnip a,2021-02-11,Kg,70.0,80.0,75.0
tamarind,2021-02-11,Kg,140.0,150.0,145.0
bamboo shoot,2021-02-11,Kg,70.0,80.0,75.0
tofu,2021-02-11,Kg,70.0,80.0,75.0
gundruk,2021-02-11,Kg,220.0,250.0,235.0
apple(jholey),2021-02-11,Kg,190.0,200.0,195.0
apple(fuji),2021-02-11,KG,250.0,300.0,275.0
banana,2021-02-11,Doz,90.0,100.0,95.0
lime,2021-02-11,Kg,140.0,150.0,145.0
pomegranate,2021-02-11,Kg,280.0,300.0,290.0
grapes(green),2021-02-11,Kg,90.0,100.0,95.0
grapes(black),2021-02-11,Kg,190.0,200.0,195.0
orange(nepali),2021-02-11,Kg,140.0,150.0,145.0
water melon(green),2021-02-11,Kg,35.0,40.0,37.5
sweet orange,2021-02-11,Kg,140.0,150.0,145.0
pineapple,2021-02-11,1 Pc,140.0,150.0,145.0
cucumber(local),2021-02-11,Kg,140.0,160.0,150.0
cucumber(hybrid),2021-02-11,KG,40.0,50.0,45.0
jack fruit,2021-02-11,Kg,80.0,90.0,85.0
lemon,2021-02-11,Kg,50.0,60.0,55.0
pear(chinese),2021-02-11,Kg,260.0,270.0,265.0
guava,2021-02-11,Kg,90.0,100.0,95.0
mombin,2021-02-11,Kg,45.0,50.0,47.5
sugarcane,2021-02-11,1 Pc,80.0,90.0,85.0
kinnow,2021-02-11,Kg,50.0,60.0,55.0
strawberry,2021-02-11,Kg,550.0,600.0,575.0
kiwi,2021-02-11,Kg,280.0,300.0,290.0
ginger,2021-02-11,Kg,50.0,60.0,55.0
chilli dry,2021-02-11,Kg,320.0,330.0,325.0
chilli green,2021-02-11,Kg,80.0,90.0,85.0
chilli green(bullet),2021-02-11,KG,50.0,60.0,55.0
chilli green(machhe),2021-02-11,KG,90.0,100.0,95.0
capsicum,2021-02-11,Kg,70.0,80.0,75.0
garlic green,2021-02-11,Kg,60.0,70.0,65.0
coriander green,2021-02-11,Kg,80.0,100.0,90.0
garlic dry chinese,2021-02-11,Kg,270.0,290.0,280.0
fish fresh(rahu),2021-02-11,KG,270.0,280.0,275.0
fish fresh(bachuwa),2021-02-11,KG,225.0,235.0,230.0
fish fresh(chhadi),2021-02-11,KG,210.0,220.0,215.0
fish fresh(mungari),2021-02-11,KG,240.0,250.0,245.0
tomato big(nepali),2021-02-12,Kg,50.0,60.0,55.0
tomato big(indian),2021-02-12,Kg,50.0,60.0,55.0
tomato small(local),2021-02-12,Kg,12.0,16.0,14.0
tomato small(tunnel),2021-02-12,Kg,15.0,20.0,17.5
tomato small(indian),2021-02-12,KG,20.0,25.0,22.5
tomato small(terai),2021-02-12,KG,25.0,30.0,27.5
potato red,2021-02-12,Kg,22.0,26.0,24.0
potato red(indian),2021-02-12,KG,22.0,26.0,24.0
potato white,2021-02-12,Kg,17.0,19.0,18.0
onion dry (indian),2021-02-12,Kg,80.0,85.0,82.5
carrot(local),2021-02-12,Kg,50.0,60.0,55.0
carrot(terai),2021-02-12,Kg,40.0,50.0,45.0
cabbage(local),2021-02-12,Kg,15.0,20.0,17.5
cabbage(terai),2021-02-12,Kg,10.0,15.0,12.5
cabbage,2021-02-12,Kg,15.0,20.0,17.5
cauli local,2021-02-12,Kg,35.0,45.0,40.0
cauli local(jyapu),2021-02-12,Kg,40.0,50.0,45.0
cauli terai,2021-02-12,Kg,25.0,30.0,27.5
raddish red,2021-02-12,Kg,50.0,60.0,55.0
raddish white(local),2021-02-12,Kg,25.0,35.0,30.0
raddish white(hybrid),2021-02-12,Kg,30.0,35.0,32.5
brinjal long,2021-02-12,Kg,50.0,60.0,55.0
brinjal round,2021-02-12,Kg,50.0,60.0,55.0
green peas,2021-02-12,Kg,50.0,60.0,55.0
french bean(local),2021-02-12,Kg,60.0,70.0,65.0
french bean(hybrid),2021-02-12,Kg,50.0,60.0,55.0
sword bean,2021-02-12,Kg,60.0,70.0,65.0
bitter gourd,2021-02-12,Kg,110.0,130.0,120.0
bottle gourd,2021-02-12,Kg,50.0,60.0,55.0
pointed gourd(terai),2021-02-12,Kg,180.0,200.0,190.0
pumpkin,2021-02-12,Kg,25.0,35.0,30.0
squash(long),2021-02-12,Kg,40.0,50.0,45.0
squash(round),2021-02-12,Kg,50.0,60.0,55.0
turnip,2021-02-12,Kg,70.0,80.0,75.0
okara,2021-02-12,Kg,110.0,120.0,115.0
sweet potato,2021-02-12,Kg,60.0,70.0,65.0
barela,2021-02-12,Kg,50.0,60.0,55.0
arum,2021-02-12,Kg,40.0,50.0,45.0
christophine,2021-02-12,Kg,40.0,50.0,45.0
brd leaf mustard,2021-02-12,Kg,50.0,60.0,55.0
spinach leaf,2021-02-12,Kg,50.0,60.0,55.0
cress leaf,2021-02-12,Kg,80.0,90.0,85.0
mustard leaf,2021-02-12,Kg,40.0,50.0,45.0
fenugreek leaf,2021-02-12,Kg,50.0,60.0,55.0
onion green,2021-02-12,Kg,60.0,70.0,65.0
bakula,2021-02-12,Kg,110.0,120.0,115.0
yam,2021-02-12,Kg,50.0,60.0,55.0
mushroom(kanya),2021-02-12,Kg,80.0,100.0,90.0
mushroom(button),2021-02-12,KG,280.0,300.0,290.0
brocauli,2021-02-12,Kg,50.0,60.0,55.0
sugarbeet,2021-02-12,Kg,60.0,70.0,65.0
drumstick,2021-02-12,Kg,160.0,170.0,165.0
red cabbbage,2021-02-12,Kg,90.0,100.0,95.0
lettuce,2021-02-12,Kg,80.0,90.0,85.0
knolkhol,2021-02-12,Kg,80.0,90.0,85.0
celery,2021-02-12,Kg,220.0,250.0,235.0
parseley,2021-02-12,Kg,350.0,400.0,375.0
fennel leaf,2021-02-12,Kg,50.0,60.0,55.0
mint,2021-02-12,Kg,220.0,250.0,235.0
turnip a,2021-02-12,Kg,70.0,80.0,75.0
tamarind,2021-02-12,Kg,140.0,150.0,145.0
bamboo shoot,2021-02-12,Kg,70.0,80.0,75.0
tofu,2021-02-12,Kg,70.0,80.0,75.0
gundruk,2021-02-12,Kg,220.0,250.0,235.0
apple(jholey),2021-02-12,Kg,180.0,200.0,190.0
apple(fuji),2021-02-12,KG,250.0,280.0,265.0
banana,2021-02-12,Doz,90.0,100.0,95.0
lime,2021-02-12,Kg,130.0,140.0,135.0
pomegranate,2021-02-12,Kg,280.0,300.0,290.0
grapes(green),2021-02-12,Kg,100.0,125.0,112.5
grapes(black),2021-02-12,Kg,200.0,225.0,212.5
orange(nepali),2021-02-12,Kg,120.0,130.0,125.0
water melon(green),2021-02-12,Kg,40.0,50.0,45.0
sweet orange,2021-02-12,Kg,150.0,160.0,155.0
pineapple,2021-02-12,1 Pc,130.0,140.0,135.0
cucumber(local),2021-02-12,Kg,140.0,160.0,150.0
cucumber(hybrid),2021-02-12,KG,40.0,50.0,45.0
jack fruit,2021-02-12,Kg,80.0,90.0,85.0
lemon,2021-02-12,Kg,50.0,60.0,55.0
pear(chinese),2021-02-12,Kg,260.0,270.0,265.0
papaya(nepali),2021-02-12,Kg,50.0,60.0,55.0
papaya(indian),2021-02-12,Kg,80.0,90.0,85.0
guava,2021-02-12,Kg,90.0,100.0,95.0
mombin,2021-02-12,Kg,40.0,45.0,42.5
sugarcane,2021-02-12,1 Pc,80.0,90.0,85.0
kinnow,2021-02-12,Kg,60.0,70.0,65.0
strawberry,2021-02-12,Kg,600.0,650.0,625.0
kiwi,2021-02-12,Kg,300.0,350.0,325.0
ginger,2021-02-12,Kg,50.0,60.0,55.0
chilli dry,2021-02-12,Kg,320.0,330.0,325.0
chilli green,2021-02-12,Kg,80.0,90.0,85.0
chilli green(bullet),2021-02-12,KG,50.0,60.0,55.0
chilli green(machhe),2021-02-12,KG,90.0,100.0,95.0
capsicum,2021-02-12,Kg,70.0,80.0,75.0
garlic green,2021-02-12,Kg,70.0,80.0,75.0
coriander green,2021-02-12,Kg,60.0,80.0,70.0
garlic dry chinese,2021-02-12,Kg,270.0,290.0,280.0
fish fresh(rahu),2021-02-12,KG,270.0,280.0,275.0
fish fresh(bachuwa),2021-02-12,KG,220.0,230.0,225.0
fish fresh(chhadi),2021-02-12,KG,210.0,220.0,215.0
fish fresh(mungari),2021-02-12,KG,240.0,250.0,245.0
tomato big(nepali),2021-02-13,Kg,50.0,60.0,55.0
tomato big(indian),2021-02-13,Kg,50.0,60.0,55.0
tomato small(local),2021-02-13,Kg,12.0,20.0,16.0
tomato small(tunnel),2021-02-13,Kg,12.0,20.0,16.0
tomato small(indian),2021-02-13,KG,20.0,25.0,22.5
tomato small(terai),2021-02-13,KG,20.0,25.0,22.5
potato red,2021-02-13,Kg,22.0,26.0,24.0
potato red(indian),2021-02-13,KG,22.0,26.0,24.0
potato white,2021-02-13,Kg,18.0,20.0,19.0
onion dry (indian),2021-02-13,Kg,80.0,85.0,82.5
carrot(local),2021-02-13,Kg,50.0,60.0,55.0
carrot(terai),2021-02-13,Kg,40.0,50.0,45.0
cabbage(local),2021-02-13,Kg,15.0,20.0,17.5
cabbage(terai),2021-02-13,Kg,12.0,16.0,14.0
cabbage,2021-02-13,Kg,15.0,20.0,17.5
cauli local,2021-02-13,Kg,30.0,40.0,35.0
cauli local(jyapu),2021-02-13,Kg,40.0,50.0,45.0
cauli terai,2021-02-13,Kg,25.0,30.0,27.5
raddish red,2021-02-13,Kg,50.0,60.0,55.0
raddish white(local),2021-02-13,Kg,25.0,35.0,30.0
raddish white(hybrid),2021-02-13,Kg,30.0,40.0,35.0
brinjal long,2021-02-13,Kg,50.0,60.0,55.0
brinjal round,2021-02-13,Kg,50.0,60.0,55.0
green peas,2021-02-13,Kg,50.0,60.0,55.0
french bean(local),2021-02-13,Kg,70.0,80.0,75.0
french bean(hybrid),2021-02-13,Kg,60.0,70.0,65.0
sword bean,2021-02-13,Kg,60.0,70.0,65.0
bitter gourd,2021-02-13,Kg,130.0,150.0,140.0
bottle gourd,2021-02-13,Kg,50.0,60.0,55.0
pointed gourd(terai),2021-02-13,Kg,160.0,180.0,170.0
pumpkin,2021-02-13,Kg,25.0,35.0,30.0
squash(long),2021-02-13,Kg,30.0,40.0,35.0
squash(round),2021-02-13,Kg,40.0,50.0,45.0
turnip,2021-02-13,Kg,70.0,80.0,75.0
okara,2021-02-13,Kg,120.0,130.0,125.0
sweet potato,2021-02-13,Kg,60.0,70.0,65.0
barela,2021-02-13,Kg,50.0,60.0,55.0
arum,2021-02-13,Kg,50.0,60.0,55.0
christophine,2021-02-13,Kg,50.0,60.0,55.0
brd leaf mustard,2021-02-13,Kg,50.0,60.0,55.0
spinach leaf,2021-02-13,Kg,50.0,60.0,55.0
cress leaf,2021-02-13,Kg,80.0,90.0,85.0
mustard leaf,2021-02-13,Kg,40.0,50.0,45.0
fenugreek leaf,2021-02-13,Kg,50.0,60.0,55.0
onion green,2021-02-13,Kg,50.0,60.0,55.0
bakula,2021-02-13,Kg,110.0,120.0,115.0
yam,2021-02-13,Kg,50.0,60.0,55.0
mushroom(kanya),2021-02-13,Kg,70.0,90.0,80.0
mushroom(button),2021-02-13,KG,280.0,300.0,290.0
brocauli,2021-02-13,Kg,50.0,60.0,55.0
sugarbeet,2021-02-13,Kg,70.0,80.0,75.0
drumstick,2021-02-13,Kg,160.0,180.0,170.0
red cabbbage,2021-02-13,Kg,110.0,120.0,115.0
lettuce,2021-02-13,Kg,80.0,90.0,85.0
knolkhol,2021-02-13,Kg,80.0,90.0,85.0
celery,2021-02-13,Kg,220.0,250.0,235.0
parseley,2021-02-13,Kg,350.0,400.0,375.0
fennel leaf,2021-02-13,Kg,80.0,90.0,85.0
mint,2021-02-13,Kg,220.0,250.0,235.0
turnip a,2021-02-13,Kg,70.0,80.0,75.0
tamarind,2021-02-13,Kg,140.0,150.0,145.0
bamboo shoot,2021-02-13,Kg,70.0,80.0,75.0
tofu,2021-02-13,Kg,70.0,80.0,75.0
gundruk,2021-02-13,Kg,220.0,250.0,235.0
apple(jholey),2021-02-13,Kg,190.0,200.0,195.0
apple(fuji),2021-02-13,KG,250.0,280.0,265.0
banana,2021-02-13,Doz,90.0,100.0,95.0
lime,2021-02-13,Kg,130.0,150.0,140.0
pomegranate,2021-02-13,Kg,280.0,300.0,290.0
grapes(green),2021-02-13,Kg,100.0,125.0,112.5
grapes(black),2021-02-13,Kg,200.0,225.0,212.5
orange(nepali),2021-02-13,Kg,110.0,130.0,120.0
water melon(green),2021-02-13,Kg,35.0,45.0,40.0
sweet orange,2021-02-13,Kg,150.0,160.0,155.0
pineapple,2021-02-13,1 Pc,130.0,140.0,135.0
cucumber(hybrid),2021-02-13,KG,45.0,50.0,47.5
jack fruit,2021-02-13,Kg,80.0,90.0,85.0
lemon,2021-02-13,Kg,50.0,60.0,55.0
pear(chinese),2021-02-13,Kg,260.0,270.0,265.0
papaya(nepali),2021-02-13,Kg,50.0,60.0,55.0
papaya(indian),2021-02-13,Kg,80.0,90.0,85.0
guava,2021-02-13,Kg,90.0,100.0,95.0
mombin,2021-02-13,Kg,45.0,55.0,50.0
sugarcane,2021-02-13,1 Pc,80.0,90.0,85.0
kinnow,2021-02-13,Kg,60.0,70.0,65.0
strawberry,2021-02-13,Kg,600.0,650.0,625.0
kiwi,2021-02-13,Kg,320.0,350.0,335.0
ginger,2021-02-13,Kg,50.0,60.0,55.0
chilli dry,2021-02-13,Kg,320.0,330.0,325.0
chilli green,2021-02-13,Kg,90.0,100.0,95.0
chilli green(bullet),2021-02-13,KG,50.0,60.0,55.0
chilli green(machhe),2021-02-13,KG,90.0,100.0,95.0
capsicum,2021-02-13,Kg,70.0,80.0,75.0
garlic green,2021-02-13,Kg,70.0,80.0,75.0
coriander green,2021-02-13,Kg,90.0,100.0,95.0
garlic dry chinese,2021-02-13,Kg,250.0,270.0,260.0
fish fresh(rahu),2021-02-13,KG,270.0,280.0,275.0
fish fresh(bachuwa),2021-02-13,KG,220.0,230.0,225.0
fish fresh(chhadi),2021-02-13,KG,210.0,220.0,215.0
fish fresh(mungari),2021-02-13,KG,240.0,250.0,245.0
tomato big(nepali),2021-02-14,Kg,50.0,60.0,55.0
tomato big(indian),2021-02-14,Kg,50.0,60.0,55.0
tomato small(local),2021-02-14,Kg,15.0,20.0,17.5
tomato small(tunnel),2021-02-14,Kg,20.0,25.0,22.5
tomato small(indian),2021-02-14,KG,20.0,25.0,22.5
tomato small(terai),2021-02-14,KG,15.0,20.0,17.5
potato red,2021-02-14,Kg,25.0,27.0,26.0
potato red(indian),2021-02-14,KG,23.0,25.0,24.0
potato white,2021-02-14,Kg,18.0,20.0,19.0
onion dry (indian),2021-02-14,Kg,80.0,82.0,81.0
carrot(local),2021-02-14,Kg,50.0,60.0,55.0
carrot(terai),2021-02-14,Kg,40.0,45.0,42.5
cabbage(local),2021-02-14,Kg,18.0,20.0,19.0
cabbage(terai),2021-02-14,Kg,12.0,15.0,13.5
cabbage,2021-02-14,Kg,12.0,15.0,13.5
cauli local,2021-02-14,Kg,25.0,30.0,27.5
cauli local(jyapu),2021-02-14,Kg,40.0,45.0,42.5
cauli terai,2021-02-14,Kg,15.0,20.0,17.5
raddish red,2021-02-14,Kg,50.0,60.0,55.0
raddish white(local),2021-02-14,Kg,20.0,25.0,22.5
raddish white(hybrid),2021-02-14,Kg,25.0,30.0,27.5
brinjal long,2021-02-14,Kg,45.0,50.0,47.5
brinjal round,2021-02-14,Kg,50.0,60.0,55.0
green peas,2021-02-14,Kg,75.0,80.0,77.5
french bean(local),2021-02-14,Kg,70.0,80.0,75.0
french bean(rajma),2021-02-14,Kg,80.0,90.0,85.0
sword bean,2021-02-14,Kg,60.0,70.0,65.0
bitter gourd,2021-02-14,Kg,130.0,140.0,135.0
bottle gourd,2021-02-14,Kg,45.0,50.0,47.5
pointed gourd(terai),2021-02-14,Kg,150.0,160.0,155.0
pumpkin,2021-02-14,Kg,25.0,30.0,27.5
squash(long),2021-02-14,Kg,30.0,40.0,35.0
squash(round),2021-02-14,Kg,45.0,50.0,47.5
turnip,2021-02-14,Kg,70.0,80.0,75.0
okara,2021-02-14,Kg,130.0,140.0,135.0
sweet potato,2021-02-14,Kg,60.0,70.0,65.0
barela,2021-02-14,Kg,35.0,40.0,37.5
arum,2021-02-14,Kg,50.0,60.0,55.0
christophine,2021-02-14,Kg,50.0,60.0,55.0
brd leaf mustard,2021-02-14,Kg,40.0,50.0,45.0
spinach leaf,2021-02-14,Kg,40.0,50.0,45.0
cress leaf,2021-02-14,Kg,70.0,80.0,75.0
mustard leaf,2021-02-14,Kg,40.0,50.0,45.0
fenugreek leaf,2021-02-14,Kg,50.0,60.0,55.0
onion green,2021-02-14,Kg,50.0,60.0,55.0
bakula,2021-02-14,Kg,110.0,120.0,115.0
yam,2021-02-14,Kg,50.0,60.0,55.0
mushroom(kanya),2021-02-14,Kg,90.0,100.0,95.0
mushroom(button),2021-02-14,KG,280.0,300.0,290.0
brocauli,2021-02-14,Kg,50.0,60.0,55.0
sugarbeet,2021-02-14,Kg,70.0,80.0,75.0
drumstick,2021-02-14,Kg,160.0,170.0,165.0
red cabbbage,2021-02-14,Kg,110.0,120.0,115.0
lettuce,2021-02-14,Kg,70.0,80.0,75.0
knolkhol,2021-02-14,Kg,70.0,80.0,75.0
celery,2021-02-14,Kg,220.0,250.0,235.0
parseley,2021-02-14,Kg,350.0,400.0,375.0
fennel leaf,2021-02-14,Kg,70.0,80.0,75.0
mint,2021-02-14,Kg,220.0,250.0,235.0
turnip a,2021-02-14,Kg,70.0,80.0,75.0
tamarind,2021-02-14,Kg,140.0,150.0,145.0
bamboo shoot,2021-02-14,Kg,70.0,80.0,75.0
tofu,2021-02-14,Kg,70.0,80.0,75.0
gundruk,2021-02-14,Kg,220.0,250.0,235.0
apple(jholey),2021-02-14,Kg,190.0,200.0,195.0
apple(fuji),2021-02-14,KG,290.0,300.0,295.0
banana,2021-02-14,Doz,90.0,100.0,95.0
lime,2021-02-14,Kg,120.0,135.0,127.5
pomegranate,2021-02-14,Kg,280.0,300.0,290.0
grapes(green),2021-02-14,Kg,110.0,120.0,115.0
grapes(black),2021-02-14,Kg,220.0,250.0,235.0
orange(nepali),2021-02-14,Kg,120.0,130.0,125.0
water melon(green),2021-02-14,Kg,35.0,40.0,37.5
sweet orange,2021-02-14,Kg,150.0,160.0,155.0
pineapple,2021-02-14,1 Pc,130.0,140.0,135.0
cucumber(hybrid),2021-02-14,KG,40.0,50.0,45.0
